Date,Open,High,Low,Close,Adj Close,Volume
10/12/2015,82.5,82.870003,78.169998,78.75,70.396065,5811500
10/13/2015,86.739998,89,85.720001,86.580002,77.395439,14511800
10/14/2015,86.800003,86.980003,85.419998,86,76.876976,3207800
10/15/2015,86.410004,87.949997,86.029999,87.760002,78.450279,3588500
10/16/2015,88.029999,88.410004,87.309998,88.300003,78.932991,2705500
10/19/2015,88.279999,88.800003,87.870003,88.129997,78.781021,2058800
10/20/2015,88.129997,88.690002,87.580002,88.5,79.111763,1694900
10/21/2015,88.599998,88.889999,87.650002,87.910004,78.584358,1414500
10/22/2015,88.040001,88.769997,87.800003,88.07,78.727394,1704100
10/23/2015,88.690002,88.690002,87.529999,88.480003,79.09391,1803600
10/26/2015,88.279999,88.68,87.559998,88.239998,78.879341,1007500
10/27/2015,87.889999,88.07,86.279999,86.709999,77.511658,1659500
10/28/2015,86.839996,88.32,86.839996,87.970001,78.637993,1928900
10/29/2015,87.970001,88.489998,87.129997,87.489998,78.208908,1118700
10/30/2015,87.949997,88.639999,87.120003,88.099998,78.754204,1328800
11/2/2015,88.07,88.830002,87.669998,88.709999,79.299492,1317700
11/3/2015,88.25,88.639999,87.459999,87.900002,78.575409,2545500
11/4/2015,87.900002,88.199997,86.660004,87.419998,78.146355,1889600
11/5/2015,87.279999,88.480003,86.120003,87.82,78.503914,1243700
11/6/2015,87.330002,87.910004,86,87.57,78.280411,1423600
11/9/2015,87.410004,87.699997,86.510002,87.360001,78.092697,1897600
11/10/2015,87.32,90.589996,86.660004,88.309998,78.941925,5595400
11/11/2015,88.150002,93.349998,87.199997,92.190002,82.410316,10523400
11/12/2015,91.860001,94.629997,91.449997,92.120003,82.347755,5049200
11/13/2015,91.610001,94.260002,91.510002,93.809998,83.858467,3859000
11/16/2015,94.32,95.160004,92.910004,93.879997,83.921028,2882600
11/17/2015,94.349998,95.489998,93.879997,95.129997,85.038429,2437100
11/18/2015,95.360001,95.739998,93.32,94.089996,84.108772,1968500
11/19/2015,94.410004,94.410004,93.129997,93.879997,83.921028,2248900
11/20/2015,94.360001,94.510002,92.389999,92.5,82.687447,2214700
11/23/2015,93.150002,93.410004,91.989998,92.25,82.463959,2020500
11/24/2015,92.209999,92.660004,91.620003,92.110001,82.338806,1818200
11/25/2015,92.239998,92.970001,92.029999,92.5,83.057144,2367700
11/27/2015,92.769997,93.720001,92.290001,93.370003,83.838333,659200
11/30/2015,93.379997,94.150002,91.949997,92.029999,82.635124,1644500
12/1/2015,92.339996,93.540001,92.269997,93.169998,83.658752,1193200
12/2/2015,93,93.330002,92.370003,92.75,83.281624,1235300
12/3/2015,92.699997,93.190002,91.410004,91.959999,82.572273,2261700
12/4/2015,92,95.510002,91.989998,95.139999,85.427643,2537900
12/7/2015,95.220001,95.239998,94.239998,94.75,85.077461,1278400
12/8/2015,94.279999,94.809998,92.75,94.589996,84.933784,2175800
12/9/2015,94.209999,95.129997,93.239998,93.720001,84.152596,1132800
12/10/2015,93.599998,94.18,93,93.389999,83.856285,1096600
12/11/2015,92.220001,93.93,92.010002,92.68,83.218781,2142100
12/14/2015,92.550003,93.150002,90.93,91.910004,82.527367,1948800
12/15/2015,92.75,94.389999,92.190002,93.720001,84.152596,1955900
12/16/2015,94.019997,94.550003,92.559998,94.160004,84.547684,1922000
12/17/2015,94.169998,95.129997,93.260002,93.720001,84.152596,1042900
12/18/2015,93.279999,93.620003,92.5,92.550003,83.102043,1866800
12/21/2015,93.389999,93.410004,92.290001,92.730003,83.263664,1240800
12/22/2015,93.07,93.510002,92.190002,93.139999,83.631813,1247100
12/23/2015,93.419998,93.980003,92.910004,93.959999,84.368103,903200
12/24/2015,94.050003,94.410004,93.760002,93.980003,84.386047,454800
12/28/2015,93.540001,93.540001,92.779999,93.440002,83.901192,686900
12/29/2015,93.989998,95.040001,93.769997,94.889999,85.203163,912400
12/30/2015,95.019997,95.029999,94.190002,94.540001,84.888901,808100
12/31/2015,94.199997,94.639999,93.849998,93.919998,84.332176,758800
1/4/2016,92.970001,92.970001,91.43,92.290001,82.868584,2293700
1/5/2016,92.540001,93.099998,91.580002,92.639999,83.182877,1824300
1/6/2016,91.620003,91.830002,90.360001,90.800003,81.530685,2187700
1/7/2016,89.919998,91.519997,89.800003,90.349998,81.12664,2491300
1/8/2016,90.459999,90.870003,88.970001,89.220001,80.111992,1675800
1/11/2016,89.419998,90.120003,87.860001,88.470001,79.438545,1810400
1/12/2016,89.080002,89.699997,88.519997,89.580002,80.435249,2248900
1/13/2016,89.669998,89.949997,87.410004,87.589996,78.648369,2380200
1/14/2016,87.650002,88.489998,84.739998,86.739998,77.885155,4253600
1/15/2016,85.150002,86.290001,83.830002,86.029999,77.24762,3435200
1/19/2016,87.029999,87.669998,86.029999,87.199997,78.298195,2154100
1/20/2016,86.410004,86.989998,85.309998,86.269997,77.463127,3143800
1/21/2016,87.459999,87.629997,86.040001,86.57,77.732513,2463300
1/22/2016,87.910004,90.099998,87.860001,88.900002,79.824654,1701900
1/25/2016,88.519997,88.800003,87.489998,87.599998,78.657356,1396200
1/26/2016,87.769997,88.739998,86.93,87.760002,78.801033,2159200
1/27/2016,85.160004,89.43,84.400002,87.75,78.792038,3755200
1/28/2016,88.139999,89.559998,87.800003,88.449997,79.420586,2743900
1/29/2016,88.470001,90.970001,88.050003,90.480003,81.243355,20928900
2/1/2016,90.5,92.410004,90.080002,91.910004,82.527367,4963900
2/2/2016,91.459999,91.639999,90.589996,91.550003,82.204132,2676700
2/3/2016,91.839996,91.900002,88.940002,89.970001,80.785431,2231600
2/4/2016,89.959999,89.959999,86.889999,87.629997,78.684296,3074000
2/5/2016,87.330002,87.730003,86.080002,86.949997,78.073715,2917100
2/8/2016,86,86.18,83.800003,83.900002,75.335075,5427800
2/9/2016,83.629997,85.300003,83.029999,83.870003,75.308151,3343800
2/10/2016,84.529999,85.239998,84.080002,84.18,75.586487,1869500
2/11/2016,82.769997,84.199997,80.779999,83.629997,75.092636,2993200
2/12/2016,83.5,84.639999,83.300003,84.139999,75.550568,2057000
2/16/2016,85.279999,85.290001,83.459999,84.660004,76.017509,2386900
2/17/2016,85.279999,86.519997,84.730003,86.239998,77.436195,1963300
2/18/2016,86,86.099998,84.660004,84.730003,76.080353,2149300
2/19/2016,84.730003,85.599998,84.239998,85.550003,76.81665,1383600
2/22/2016,85.550003,86.989998,85.550003,86.830002,77.965973,1506500
2/23/2016,86.43,87.419998,85.230003,85.599998,76.861519,1700000
2/24/2016,85.139999,86.260002,84.639999,86.139999,77.346428,1207100
2/25/2016,85.800003,86.650002,85.190002,86.629997,77.786385,1068300
2/26/2016,86.610001,86.879997,85.029999,85.190002,76.493385,1225500
2/29/2016,85.150002,86.440002,84.940002,85.269997,76.565208,2843000
3/1/2016,86.089996,86.970001,85.589996,86.540001,77.705582,1302800
3/2/2016,86.150002,86.660004,85.43,86.629997,77.786385,1487300
3/3/2016,86.400002,88.540001,86.120003,88.540001,79.879448,1812900
3/4/2016,88.989998,90.349998,88.809998,90.220001,81.395119,2076600
3/7/2016,89.949997,90.650002,89.010002,89.330002,80.592201,1516100
3/8/2016,88.800003,89.160004,88.029999,88.400002,79.753136,969100
3/9/2016,88.599998,90.529999,88.239998,90.379997,81.539474,1395100
3/10/2016,90.779999,91.919998,90.330002,91.809998,82.829582,1685600
3/11/2016,91.989998,92.760002,91.120003,92.459999,83.416023,1975900
3/14/2016,92.169998,92.699997,90.330002,92.5,83.45211,1330600
3/15/2016,92.349998,92.949997,92.010002,92.800003,83.722771,1090500
3/16/2016,92.25,93.379997,91.900002,93.190002,84.074615,1255700
3/17/2016,93.370003,94.610001,93.370003,94.43,85.193314,1163700
3/18/2016,94.43,94.489998,93.120003,93.459999,84.318207,2440900
3/21/2016,93.709999,93.760002,92.610001,93.519997,84.372337,1128000
3/22/2016,93.559998,94.919998,93.080002,94.830002,85.554176,1414700
3/23/2016,94.830002,95.709999,94.32,95.519997,86.176704,1690500
3/24/2016,94.629997,95.32,94.559998,95.309998,85.987244,1228500
3/28/2016,95.300003,96.199997,94.940002,95.400002,86.068443,1005000
3/29/2016,95.050003,96.120003,94.879997,96.110001,86.709,1210100
3/30/2016,96.75,97,95.910004,96.07,86.672913,908500
3/31/2016,95.900002,96.940002,95.599998,96.18,86.772141,1530100
4/1/2016,95.459999,97.029999,95.290001,96.949997,87.466812,1339600
4/4/2016,96.709999,97.25,95.68,96.010002,86.61879,1400300
4/5/2016,95.120003,95.25,93.550003,93.980003,84.787338,1494500
4/6/2016,94.07,94.300003,93,93.989998,84.796356,1651400
4/7/2016,92.910004,93.25,91.879997,92.300003,83.271667,1400600
4/8/2016,91.440002,93.239998,91.169998,93.120003,84.011467,1827700
4/11/2016,93.400002,93.900002,92.75,92.849998,83.767876,972400
4/12/2016,92.730003,93.370003,92.349998,92.870003,83.785919,1324200
4/13/2016,93.330002,93.440002,92.519997,92.919998,83.831032,1001200
4/14/2016,92.839996,96.410004,92.459999,95.730003,86.36618,2900600
4/15/2016,96,96.919998,95.25,96.879997,87.403679,1807900
4/18/2016,96.480003,96.93,96,96.68,87.223244,941300
4/19/2016,97.150002,98.269997,96.699997,97.75,88.188583,1466200
4/20/2016,97.43,97.650002,96.550003,96.779999,87.313446,867800
4/21/2016,96.339996,96.599998,95.120003,95.519997,86.176704,1218400
4/22/2016,95.099998,95.75,94.099998,95.629997,86.27594,1012200
4/25/2016,95.629997,96.5,94.93,96.440002,87.006706,985600
4/26/2016,96.839996,96.839996,95.769997,96,86.609756,979900
4/27/2016,96.120003,96.639999,95,95.809998,86.438347,1176300
4/28/2016,95.019997,95.970001,94.940002,95.669998,86.312027,1170600
4/29/2016,95.489998,96.599998,95.019997,95.629997,86.27594,1375300
5/2/2016,95.559998,97.139999,95.349998,96.769997,87.304443,2070100
5/3/2016,96.769997,99.449997,96.050003,98.309998,88.69381,2772100
5/4/2016,97.769997,98.879997,96.800003,98.169998,88.56749,1595600
5/5/2016,98.389999,98.709999,97.889999,98.470001,88.838142,1024300
5/6/2016,98.410004,98.529999,97.339996,98.300003,88.684769,683100
5/9/2016,98.379997,99.489998,98.269997,99.129997,89.433609,993000
5/10/2016,99.339996,100.279999,98.849998,99.940002,90.164368,1029000
5/11/2016,100.019997,100.449997,99.25,99.489998,89.758385,688300
5/12/2016,100.099998,100.099998,98.879997,99.730003,89.974899,901600
5/13/2016,99.669998,99.849998,98.400002,98.760002,89.099777,936600
5/16/2016,98.970001,100.230003,98.790001,99.809998,90.047081,752200
5/17/2016,99.660004,100.040001,97.849998,98.220001,88.612595,1344300
5/18/2016,97.919998,98.050003,96.419998,96.709999,87.250305,1862200
5/19/2016,96.709999,97.57,96,97.489998,87.954025,859000
5/20/2016,97.860001,97.860001,96.400002,96.720001,87.259331,1258400
5/23/2016,96.639999,97.459999,96.169998,97.220001,87.710426,679900
5/24/2016,97.790001,99.410004,97.459999,99.169998,89.469681,1022500
5/25/2016,99.190002,100.160004,97.910004,99.43,89.704247,878300
5/26/2016,99.32,100.110001,98.760002,99.360001,89.64109,712300
5/27/2016,99.419998,100.620003,99.040001,100.199997,90.398933,1006700
5/31/2016,100.309998,100.480003,98.769997,99.18,89.478706,1529500
6/1/2016,99.18,102.18,99.18,102.169998,92.176224,2411200
6/2/2016,101.82,101.970001,100.940002,101.940002,92.339287,902400
6/3/2016,101.419998,102.599998,101.419998,102.470001,92.819359,829700
6/6/2016,102.769997,103.07,102.129997,102.959999,93.263229,631700
6/7/2016,103.029999,103.07,101.419998,101.709999,92.130951,1575900
6/8/2016,101.690002,103.75,101.690002,103.599998,93.842949,1551000
6/9/2016,102.849998,103.639999,102.480003,103.379997,93.643669,1438700
6/10/2016,102.900002,104.150002,102.660004,103.690002,93.924469,2208200
6/13/2016,103.220001,104.120003,101.5,101.580002,92.013176,2111200
6/14/2016,101.300003,101.519997,99.199997,100.550003,91.080193,1964200
6/15/2016,100.900002,101.239998,100.010002,100.18,90.745041,1386400
6/16/2016,99.82,100.940002,99.43,100.839996,91.34288,996700
6/17/2016,101.080002,101.169998,99.860001,100.309998,90.862801,1474900
6/20/2016,101.709999,102.129997,101.050003,101.050003,91.533104,1068200
6/21/2016,101.150002,102.239998,101.099998,102.07,92.457047,926200
6/22/2016,102.389999,102.699997,101.410004,101.510002,91.949776,764100
6/23/2016,102.349998,102.709999,101.660004,101.949997,92.348343,773800
6/24/2016,98.540001,99.519997,97.300003,98.080002,88.842819,3631900
6/27/2016,97.470001,98.059998,95.57,96.18,87.121758,2195700
6/28/2016,97.349998,98.580002,95.699997,96.639999,87.538445,2374100
6/29/2016,97.580002,99.040001,96.800003,98.440002,89.168915,2764100
6/30/2016,99.199997,102.309998,98.559998,101.129997,91.605568,2938300
7/1/2016,101.730003,102.160004,100.610001,100.739998,91.252289,1066600
7/5/2016,100.970001,101.089996,100.269997,100.440002,90.980553,997500
7/6/2016,99.800003,101.529999,99.099998,101.269997,91.732376,1416200
7/7/2016,101.089996,101.510002,99.620003,99.849998,90.446129,1153200
7/8/2016,101.220001,102.660004,100.410004,102.559998,92.900887,1566200
7/11/2016,102.459999,102.540001,101.480003,101.620003,92.049423,1186700
7/12/2016,101.620003,102.07,100.940002,101.400002,91.850136,1417200
7/13/2016,102.010002,102.150002,101.150002,101.199997,91.668961,1486000
7/14/2016,101.339996,101.720001,98.599998,98.760002,89.458771,2854000
7/15/2016,98.959999,99.400002,97.470001,98.529999,89.250443,3047900
7/18/2016,98.610001,99.209999,97.510002,99.110001,89.775818,1828900
7/19/2016,98.800003,99.040001,97.959999,98.029999,88.797539,1864700
7/20/2016,98.349998,101.290001,97.120003,100.800003,91.306648,4759900
7/21/2016,100.370003,100.769997,99.599998,100.129997,90.699745,1632800
7/22/2016,100.43,102.239998,100.379997,101.669998,92.094727,1647300
7/25/2016,101.870003,101.919998,100.839996,101.169998,91.6418,1397900
7/26/2016,100.5,100.639999,98.029999,98.110001,88.870003,3368800
7/27/2016,97.610001,97.620003,89.400002,93.129997,84.359009,16847700
7/28/2016,93.32,98.720001,93.32,97.75,88.543907,8861900
7/29/2016,99.300003,103.839996,99.239998,102.160004,92.538567,10798700
8/1/2016,102.160004,102.160004,100.400002,100.849998,91.351929,2623900
8/2/2016,100.949997,102.120003,99.589996,100.790001,91.297592,2675900
8/3/2016,100.43,100.629997,99.040001,99.650002,90.264961,1423000
8/4/2016,100.010002,100.769997,99.510002,99.900002,90.491425,1320700
8/5/2016,99.900002,100.639999,98.800003,99.07,89.739594,1394500
8/8/2016,99.330002,99.330002,98.25,98.989998,89.66713,964700
8/9/2016,99.220001,100.010002,98.68,99.389999,90.029457,1341700
8/10/2016,99.809998,99.940002,99,99.589996,90.210602,989800
8/11/2016,99.940002,100.080002,99.43,99.57,90.192482,1116300
8/12/2016,99.339996,100.190002,98.870003,99.790001,90.391769,791000
8/15/2016,99.860001,100.169998,98.93,98.949997,89.630882,1633300
8/16/2016,98.760002,99.419998,98.309998,98.919998,89.603714,1101600
8/17/2016,99.029999,99.550003,98.239998,99.120003,89.784866,1570800
8/18/2016,99.290001,99.519997,98.440002,99,89.676178,1500900
8/19/2016,98.68,99.529999,98.449997,99.339996,89.984154,1743300
8/22/2016,99.290001,100.07,98.75,99.75,90.355545,1554700
8/23/2016,99.860001,100.43,99.459999,100.129997,90.699745,1218600
8/24/2016,100.150002,101.129997,100.150002,100.650002,91.170769,1228000
8/25/2016,100.650002,101.389999,100.349998,101.010002,91.496872,1313300
8/26/2016,101.459999,102.879997,101.330002,101.879997,92.28495,1426900
8/29/2016,101.43,103.410004,101.43,103.330002,93.976563,1655300
8/30/2016,103.410004,103.410004,102.330002,103.110001,93.776497,1411700
8/31/2016,103.239998,103.349998,101.779999,102.32,93.057991,1246600
9/1/2016,102.089996,102.68,101.540001,102.470001,93.194405,1189300
9/2/2016,102.739998,104.449997,102.720001,104.209999,94.776901,1439200
9/6/2016,104.139999,106.650002,104.120003,106.610001,96.959656,2023900
9/7/2016,106.230003,107.550003,105.779999,105.93,96.341217,1651600
9/8/2016,105.889999,106,104.230003,104.32,94.876945,2108000
9/9/2016,103.370003,103.910004,101.330002,101.339996,92.16671,1991500
9/12/2016,101.519997,103.889999,101.050003,103.730003,94.340363,2081700
9/13/2016,103.209999,103.550003,101.290001,101.540001,92.348587,1822300
9/14/2016,101.709999,103.160004,101.709999,102.360001,93.094368,1852500
9/15/2016,102.059998,104.309998,102.059998,103.660004,94.276703,2178300
9/16/2016,102.900002,103.279999,102.169998,102.800003,93.494545,1443600
9/19/2016,102.93,103.339996,102.239998,102.580002,93.294456,1131900
9/20/2016,102.580002,102.970001,102.059998,102.199997,92.948845,1451700
9/21/2016,103.220001,105.360001,102.919998,105.150002,95.631828,2078800
9/22/2016,105.5,107.239998,105.5,106.779999,97.114288,1780000
9/23/2016,106.82,107.050003,105.690002,105.970001,96.377602,1373900
9/26/2016,105.370003,105.739998,103.760002,104.260002,94.822388,2080500
9/27/2016,104.779999,108.389999,104.449997,107.529999,97.796379,3524500
9/28/2016,110.610001,111.239998,108.5,109.610001,99.688118,5446800
9/29/2016,109.519997,109.550003,108.349998,108.440002,98.624016,2321600
9/30/2016,108.690002,110.400002,107.68,109.800003,99.860893,3028300
10/3/2016,109.239998,109.879997,108.019997,108.68,98.842293,1929500
10/4/2016,108.959999,109.669998,107.620003,107.82,98.060135,1680100
10/5/2016,107.970001,108.379997,107.5,107.779999,98.023758,1541000
10/6/2016,107.300003,108.129997,107.099998,107.730003,97.978279,1074300
10/7/2016,108,108.309998,106.449997,107.650002,97.905518,1207600
10/10/2016,108.620003,110.660004,108.620003,109.830002,99.888191,1801300
10/11/2016,110.059998,110.199997,108.629997,109.839996,99.89727,2079100
10/12/2016,109.839996,110.489998,109.510002,110.25,100.270164,1265900
10/13/2016,110.470001,111.089996,109.800003,110.650002,100.63398,1515300
10/14/2016,111.269997,112.190002,111.019997,111.25,101.179649,1687400
10/17/2016,111.5,111.980003,110.309998,110.389999,100.397499,1133800
10/18/2016,111.099998,111.099998,110.029999,110.110001,100.142838,1150500
10/19/2016,110,110.489998,109.040001,109.089996,99.215172,1679000
10/20/2016,109.68,110.07,108.169998,108.529999,98.705856,1924600
10/21/2016,108.400002,108.699997,107.610001,108.629997,98.796814,1763000
10/24/2016,108.779999,109,107.919998,108.300003,98.496696,1221500
10/25/2016,108.260002,108.690002,107.779999,108.099998,98.314789,2047300
10/26/2016,108,108,106.089996,106.110001,96.504913,1440000
10/27/2016,106.620003,106.82,104.769997,104.860001,95.36808,1901400
10/28/2016,104.019997,105.43,103.32,104.489998,95.031563,1942900
10/31/2016,104.489998,105.220001,103.510002,103.809998,94.413116,2236500
11/1/2016,102.699997,109.370003,101.809998,105.309998,95.777336,6877600
11/2/2016,104.879997,105.190002,103.550003,103.650002,94.267601,2461900
11/3/2016,103.980003,104.220001,101.900002,103.019997,93.694618,1918500
11/4/2016,103.360001,104,102.620003,102.809998,93.503647,1448500
11/7/2016,103.93,105.120003,103.860001,105,95.495377,1789900
11/8/2016,104.510002,106.349998,104.489998,105.879997,96.295738,1819000
11/9/2016,103.110001,104.620003,102.699997,103.089996,93.758286,2326000
11/10/2016,102.129997,102.639999,98.209999,99.660004,90.638786,4565600
11/11/2016,99.440002,99.830002,98.220001,99.050003,90.084007,1674800
11/14/2016,98.800003,98.809998,96.089996,96.82,88.055847,2878600
11/15/2016,97.120003,98.150002,97.07,97.720001,88.874382,1783100
11/16/2016,97.459999,97.919998,96.400002,97.510002,88.683403,1218700
11/17/2016,97.349998,98,97.25,97.940002,89.074478,1098000
11/18/2016,97.290001,97.82,96.550003,96.830002,88.064957,1480500
11/21/2016,96.830002,98.959999,96.830002,98.550003,89.62925,1408900
11/22/2016,98.839996,100.339996,98.459999,99.980003,90.929817,1882000
11/23/2016,100.029999,100.339996,98.489998,98.889999,89.938477,1222200
11/25/2016,98.830002,100.769997,98.410004,99.739998,90.711525,716900
11/28/2016,99.339996,100.209999,98.790001,99.830002,91.168159,1526200
11/29/2016,99.650002,100.510002,99.519997,100.050003,91.369072,1233100
11/30/2016,99.639999,100.25,98.029999,98.029999,89.52433,1819400
12/1/2016,97.730003,98.25,94.099998,94.660004,86.446739,3214500
12/2/2016,94.959999,95.849998,94.739998,95.629997,87.332565,1795800
12/5/2016,95.629997,96.720001,95.230003,95.529999,87.241234,1732800
12/6/2016,95.519997,95.699997,94.849998,95.480003,87.195587,1485200
12/7/2016,95.639999,97.389999,95.279999,97.129997,88.702415,2130700
12/8/2016,96.900002,98.410004,96.309998,98.110001,89.597382,1602000
12/9/2016,98.43,99.089996,98.209999,99.040001,90.446693,1135700
