_id,barrel_class,num_of_breweries_2008,total_barrels_2008,percent_to_total_2008,exports_2008,percent_to_total_exports_2008,num_of_breweries_2009,total_barrels_2009,percent_to_total_2009,exports_2009,percent_to_total_exports_2009,num_of_breweries_2010,total_barrels_2010,percent_to_total_2010,exports_2010,percent_to_total_exports_2010,num_of_breweries_2011,total_barrels_2011,percent_to_total_2011,exports_2011,percent_to_total_exports_2011,num_of_breweries_2012,total_barrels_2012,percent_to_total_2012,exports_2012,percent_to_total_exports_2012,num_of_breweries_2013,total_barrels_2013,percent_to_total_2013,exports_2013,percent_to_total_exports_2013,num_of_breweries_2014,total_barrels_2014,percent_to_total_2014,exports_2014,percent_to_total_exports_2014,num_of_breweries_2015,total_barrels_2015,percent_to_total_2015,exports_2015,percent_to_total_exports_2015,num_of_breweries_2016,total_barrels_2016,percent_to_total_2016,exports_2016,percent_to_total_exports_2016,num_of_breweries_2017,total_barrels_2017,percent_to_total_2017,exports_2017,percent_to_total_exports_2017,num_of_breweries_2018,total_barrels_2018,percent_to_total_2018,exports_2018,percent_to_total_exports_2018,num_of_breweries_2019,total_barrels_2019,percent_to_total_2019,exports_2019,percent_to_total_exports_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"1 to 1,000 Barrels ",979,"381,660.76",0%,252.03,0%,"1,037","400,401.17",0%,0.00,0%,513,"1,254,333.75",1%,"1,279.83",0%,"1,334","458,109.83",0%,580.62,0%,"1,604","516,746.49",0%,"1,220.38",0%,"1,923","602,141.42",0%,922.77,0%,"2,321","698,737.88",0%,"1,547.17",0%,"2,812","835,835.99",0%,"1,892.46",0%,"3,283","993,337.92",1%,889.04,0%,"3,646","1,073,977.86",1%,790.59,0%,"4,241","1,238,268.90",1%,"2,299.59",0%,"4,577","1,321,901.27",1%,"2,296.92",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Under 1 Barrel,163,0.67,0%,166.68,0%,195,3.70,0%,0.00,0%,"1,334","458,109.83",0%,0.00,0%,0,0.00,0%,0.00,0%,0,0.00,0%,0.00,0%,0,0.00,0%,0.00,0%,0,0.00,0%,0.00,0%,476,0.00,0%,"87,811.22",1%,488,4.43,0%,"102,983.00",2%,553,6.73,0%,503.53,0%,164,7.47,0%,274.37,0%,28,18.30,0%,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Total,"1,688","199,706,866.26",,"4,097,629.39",,"1,778","196,969,275.00",,"3,934,233.17",,759,"192,746,822.23",,"4,050,445.66",,"2,093","192,746,822.23",,"4,426,027.06",,"2,430","196,147,202.31",,"5,031,215.47",,"2,846","191,997,374.75",,"5,311,134.12",,"3,373","192,015,138.02",,"5,508,662.31",,"4,504","191,113,018.04",,"6,299,108.30",,"5,096","189,839,913.65",,"6,593,359.37",,"5,648","185,581,837.20",,"6,814,178.87",,"5,964","182,790,960.32",,"6,908,958.24",,"6,226","179,720,164.31",,"5,066,673.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,15,"23,254,161",,"232,151",,,,,,,,,,,,17,"33,987,713",,"798,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,https://www.ttb.gov/beer/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
